Date,Open,High,Low,Close,Adj Close,Volume
2019-03-12,180.000000,182.669998,179.369995,180.910004,178.572662,32467600
2019-03-13,182.250000,183.300003,180.919998,181.710007,179.362320,31032500
2019-03-14,183.899994,184.100006,182.559998,183.729996,181.356216,23579500
2019-03-15,184.850006,187.330002,183.740005,186.119995,183.715332,39042900
2019-03-18,185.800003,188.389999,185.789993,188.020004,185.590805,26219800
2019-03-19,188.350006,188.990005,185.919998,186.529999,184.120056,31646400
2019-03-20,186.229996,189.490005,184.729996,188.160004,185.728989,31035200
2019-03-21,190.020004,196.330002,189.809998,195.089996,192.569427,51034200
2019-03-22,195.339996,197.690002,190.779999,191.050003,188.581650,42407700
2019-03-25,191.509995,191.979996,186.600006,188.740005,186.301483,43845300
2019-03-26,191.660004,192.880005,184.580002,186.789993,184.376678,49800500
2019-03-27,188.750000,189.759995,186.550003,188.470001,186.034973,29848400
2019-03-28,188.949997,189.559998,187.529999,188.720001,186.281738,20780400
2019-03-29,189.830002,190.080002,188.539993,189.949997,187.495865,23564000
2019-04-01,191.639999,191.679993,188.380005,191.240005,188.769211,27862000
2019-04-02,191.089996,194.460007,191.050003,194.020004,191.513290,22765700
2019-04-03,193.250000,196.500000,193.149994,195.350006,192.826111,23271800
2019-04-04,194.789993,196.369995,193.139999,195.690002,193.161682,19114300
2019-04-05,196.449997,197.100006,195.929993,197.000000,194.454758,18526600
2019-04-08,196.419998,200.229996,196.339996,200.100006,197.514709,25881700
2019-04-09,200.320007,202.850006,199.229996,199.500000,196.922470,35768200
2019-04-10,198.679993,200.740005,198.179993,200.619995,198.027985,21695300
